iter	Passed	Remaining
411	3700	5280
412	3709	5272
413	3717	5262
414	3726	5252
415	3733	5241
416	3743	5233
417	3751	5223
418	3761	5215
419	3770	5206
420	3778	5196
421	3787	5188
422	3794	5176
423	3803	5167
424	3811	5156
425	3819	5146
426	3827	5136
427	3837	5128
428	3843	5116
429	3852	5107
430	3859	5095
431	3869	5087
432	3876	5076
433	3885	5067
434	3893	5056
435	3902	5047
436	3909	5036
437	3916	5025
438	3923	5014
439	3932	5004
440	3939	4994
441	3949	4986
442	3956	4974
443	3964	4965
444	3971	4953
445	3978	4942
446	3985	4930
447	3994	4921
448	4002	4911
449	4012	4904
450	4020	4893
451	4028	4883
452	4035	4872
453	4043	4862
454	4050	4852
455	4058	4841
456	4065	4830
457	4072	4819
458	4079	4808
459	4086	4796
460	4093	4786
461	4101	4775
462	4110	4766
463	4117	4756
464	4125	4746
465	4132	4735
466	4139	4724
467	4147	4714
468	4154	4704
469	4162	4694
470	4170	4683
471	4176	4672
472	4184	4661
473	4192	4652
474	4199	4641
475	4206	4631
476	4214	4621
477	4222	4611
478	4229	4600
479	4237	4590
480	4244	4579
481	4251	4568
482	4258	4558
483	4266	4548
484	4273	4537
485	4280	4526
486	4287	4516
487	4295	4506
488	4314	4508
489	4329	4505
490	4339	4498
491	4350	4491
492	4360	4484
493	4373	4479
494	4406	4495
495	4419	4490
496	4432	4485
497	4440	4476
498	4449	4466
499	4456	4456
500	4464	4446
501	4471	4435
502	4478	4425
503	4485	4414
504	4493	4404
505	4500	4394
506	4507	4383
507	4515	4373
508	4522	4362
509	4530	4352
510	4538	4343
511	4546	4333
512	4553	4322
513	4560	4312
514	4568	4302
515	4576	4292
516	4583	4282
517	4591	4272
518	4599	4262
519	4606	4252
520	4613	4241
521	4621	4231
522	4628	4221
523	4636	4211
524	4645	4202
525	4652	4192
526	4659	4182
527	4666	4171
528	4674	4161
529	4680	4150
530	4688	4140
531	4695	4130
532	4701	4119
533	4709	4109
534	4716	4099
535	4724	4089
536	4731	4079
537	4738	4069
538	4745	4058
539	4752	4048
540	4760	4038
541	4768	4029
542	4776	4019
543	4785	4011
544	4793	4001
545	4800	3991
546	4807	3981
547	4814	3971
548	4822	3961
549	4830	3952
550	4838	3942
551	4844	3932
552	4853	3923
553	4861	3913
554	4870	3904
555	4877	3895
556	4886	3886
557	4894	3876
558	4902	3867
559	4910	3858
560	4920	3850
561	4927	3840
562	4936	3831
563	4943	3821
564	4952	3813
565	4959	3803
566	4968	3794
567	4977	3785
568	4985	3776
569	4994	3767
570	5001	3758
571	5010	3749
572	5017	3739
573	5025	3729
574	5032	3719
575	5040	3710
576	5048	3700
577	5056	3691
578	5064	3682
579	5073	3674
580	5082	3665
581	5091	3657
582	5099	3647
583	5108	3638
584	5115	3629
585	5125	3621
586	5134	3612
587	5142	3603
588	5151	3594
589	5159	3585
590	5168	3576
591	5176	3567
592	5185	3559
593	5193	3549
594	5201	3540
595	5209	3531
596	5216	3521
597	5223	3511
598	5231	3501
599	5237	3491
600	5244	3482
601	5253	3473
602	5260	3463
603	5268	3454
604	5275	3444
605	5283	3435
606	5290	3425
607	5298	3415
608	5305	3406
609	5312	3396
610	5319	3386
611	5326	3377
612	5334	3367
613	5340	3357
614	5348	3347
615	5354	3338
616	5362	3328
617	5368	3318
618	5375	3308
619	5382	3299
620	5390	3289
621	5397	3280
622	5404	3270
623	5412	3261
624	5419	3251
625	5426	3242
626	5433	3232
627	5442	3223
628	5450	3215
629	5459	3206
630	5466	3197
631	5474	3187
632	5482	3178
633	5490	3169
634	5498	3160
635	5506	3151
636	5514	3142
637	5522	3133
638	5530	3124
639	5538	3115
640	5546	3106
641	5554	3097
642	5562	3088
643	5571	3079
644	5578	3070
645	5588	3062
646	5595	3053
647	5604	3044
648	5611	3035
649	5619	3026
650	5627	3017
651	5635	3008
652	5643	2998
653	5651	2989
654	5659	2980
655	5667	2971
656	5675	2962
657	5684	2954
658	5691	2945
659	5700	2936
660	5707	2927
661	5715	2918
662	5723	2909
663	5732	2900
664	5740	2891
665	5747	2882
666	5754	2873
667	5761	2863
668	5769	2854
669	5776	2844
670	5783	2835
671	5791	2826
672	5798	2817
673	5806	2808
674	5815	2799
675	5822	2790
676	5830	2781
677	5838	2772
678	5847	2764
679	5854	2755
680	5862	2746
681	5870	2737
682	5878	2728
683	5886	2719
684	5894	2710
685	5902	2701
686	5911	2693
687	5918	2684
688	5927	2675
689	5935	2666
690	5943	2658
691	5952	2649
692	5961	2640
693	5968	2631
694	5977	2623
695	5984	2614
696	5993	2605
697	6002	2596
698	6010	2588
699	6018	2579
700	6026	2570
701	6034	2561
702	6043	2553
703	6051	2544
704	6059	2535
705	6068	2527
706	6077	2518
707	6085	2509
708	6093	2501
709	6103	2493
710	6111	2484
711	6120	2475
712	6128	2466
713	6137	2458
714	6145	2449
715	6154	2441
716	6163	2432
717	6172	2424
718	6180	2415
719	6191	2407
720	6200	2399
721	6208	2390
722	6217	2382
723	6224	2373
724	6233	2364
725	6241	2355
726	6249	2346
727	6257	2337
728	6265	2329
729	6273	2320
730	6282	2311
731	6289	2302
732	6297	2293
733	6304	2284
734	6313	2276
735	6321	2267
736	6329	2258
737	6336	2249
738	6344	2240
739	6351	2231
740	6359	2222
741	6367	2213
742	6377	2205
743	6384	2196
744	6393	2188
745	6400	2179
746	6409	2170
747	6417	2162
748	6425	2153
749	6433	2144
750	6441	2135
751	6449	2126
752	6456	2117
753	6463	2108
754	6471	2100
755	6479	2091
756	6487	2082
757	6494	2073
758	6503	2064
759	6510	2055
760	6518	2047
761	6526	2038
762	6535	2029
763	6542	2020
764	6550	2012
765	6558	2003
766	6566	1994
767	6574	1986
768	6583	1977
769	6590	1968
770	6599	1960
771	6606	1951
772	6615	1942
773	6622	1933
774	6630	1924
775	6637	1915
776	6645	1907
777	6654	1898
778	6661	1889
779	6668	1880
780	6676	1872
781	6684	1863
782	6692	1854
783	6701	1846
784	6708	1837
785	6717	1828
786	6724	1820
787	6732	1811
788	6740	1802
789	6748	1793
790	6755	1784
791	6763	1776
792	6770	1767
793	6778	1758
794	6786	1749
795	6795	1741
796	6802	1732
797	6812	1724
798	6819	1715
799	6827	1706
800	6835	1698
801	6842	1689
802	6850	1680
803	6858	1671
804	6865	1663
805	6873	1654
806	6880	1645
807	6889	1637
808	6896	1628
809	6905	1619
810	6912	1611
811	6921	1602
812	6928	1593
813	6936	1584
814	6943	1576
815	6950	1567
816	6958	1558
817	6965	1549
818	6973	1541
819	6981	1532
820	6989	1523
821	6996	1515
822	7004	1506
823	7012	1497
824	7021	1489
825	7029	1480
826	7037	1472
827	7044	1463
828	7051	1454
829	7059	1446
830	7068	1437
831	7076	1428
832	7084	1420
833	7092	1411
834	7100	1403
835	7108	1394
836	7116	1385
837	7124	1377
838	7132	1368
839	7140	1360
840	7148	1351
841	7156	1342
842	7163	1334
843	7171	1325
844	7179	1317
845	7187	1308
846	7196	1299
847	7204	1291
848	7212	1282
849	7219	1274
850	7227	1265
851	7234	1256
852	7242	1248
853	7250	1239
854	7257	1230
855	7265	1222
856	7272	1213
857	7280	1204
858	7287	1196
859	7295	1187
860	7303	1179
861	7311	1170
862	7318	1161
863	7326	1153
864	7333	1144
865	7341	1135
866	7348	1127
867	7355	1118
868	7362	1109
869	7369	1101
870	7378	1092
871	7385	1084
872	7392	1075
873	7399	1066
874	7407	1058
875	7415	1049
876	7423	1041
877	7431	1032
878	7438	1023
879	7446	1015
880	7454	1006
881	7462	998
882	7470	989
883	7477	981
884	7485	972
885	7492	964
886	7500	955
887	7508	946
888	7515	938
889	7523	929
890	7529	921
891	7537	912
892	7544	904
893	7552	895
894	7560	886
895	7567	878
896	7575	869
897	7583	861
898	7590	852
899	7598	844
900	7607	835
901	7614	827
902	7622	818
903	7629	810
904	7636	801
905	7643	793
906	7652	784
907	7658	776
908	7666	767
909	7673	758
910	7681	750
911	7689	741
912	7697	733
913	7705	725
914	7712	716
915	7720	707
916	7727	699
917	7736	691
918	7744	682
919	7752	674
920	7760	665
921	7768	657
922	7776	648
923	7784	640
924	7791	631
925	7799	623
926	7807	614
927	7815	606
928	7823	597
929	7833	589
930	7841	581
931	7849	572
932	7857	564
933	7866	555
934	7873	547
935	7881	538
936	7888	530
937	7896	521
938	7903	513
939	7911	504
940	7918	496
941	7926	488
942	7933	479
943	7942	471
944	7949	462
945	7956	454
946	7964	445
947	7971	437
948	7980	428
949	7987	420
950	7996	412
951	8003	403
952	8011	395
953	8018	386
954	8026	378
955	8033	369
956	8041	361
957	8049	352
958	8057	344
959	8065	336
960	8072	327
961	8079	319
962	8087	310
963	8094	302
964	8101	293
965	8109	285
966	8117	277
967	8125	268
968	8132	260
969	8140	251
970	8148	243
971	8155	234
972	8162	226
973	8170	218
974	8177	209
975	8184	201
976	8191	192
977	8198	184
978	8205	176
979	8212	167
980	8219	159
981	8227	150
982	8235	142
983	8243	134
984	8250	125
985	8258	117
986	8265	108
987	8273	100
988	8281	92
989	8289	83
990	8297	75
991	8305	66
992	8312	58
993	8320	50
994	8326	41
995	8334	33
996	8341	25
997	8348	16
998	8355	8
999	8362	0
